,noisy,pesq_wb,apc-snr,stft_snr,time_sisnr_,stoi_score,pmsqe_score,mse,apc-mse,stft_diff,snr,log_mse,time
0,clean_fileid_0_1-155858-C-25-2-50666-A-20_snr7_pitch_-0.8_fileid_6154.wav,2.848963976,-15.59359455,-17.46169853,-17.55550575,0.977322967,0.552636385,0.000560701,0.000346935,0.057527456,7,5038.430176,0.14956975
1,clean_fileid_0_1-15689-A-4-3-151255-A-28_snr4_pitch_0.7_fileid_5991.wav,2.718906879,-12.7724762,-13.9313488,-13.93416309,0.962822588,0.537558198,0.001329828,0.000692251,0.061395485,4,5527.26416,0.141620398
2,clean_fileid_0_1-16746-A-15-5-216370-B-41_snr2_pitch_-0.17_fileid_14052.wav,1.536686659,-5.229302406,-6.724936485,-6.782834053,0.861003066,1.148237467,0.105084285,0.019613609,0.131513014,2,6531.791016,0.180568218
3,clean_fileid_0_1-17367-A-10-5-198411-E-20_snr0_pitch_0.66_fileid_500.wav,1.661765933,-5.172035694,-8.529013634,-8.636681557,0.885100685,1.580611587,0.037222397,0.01216645,0.182558,0,6228.632324,0.140625477
4,clean_fileid_0_1-17808-A-12-2-108767-B-9_snr4_pitch_0.13_fileid_8836.wav,2.212703466,-8.151141167,-9.526051521,-10.28561497,0.963724712,1.155017257,0.022273358,0.005689855,0.123081796,4,5506.189453,0.147605181
5,clean_fileid_0_1-18527-B-44-5-243783-A-44_snr15_pitch_-0.83_fileid_7636.wav,3.189391375,-15.60699368,-19.41320229,-20.13241196,0.98934576,0.468039751,0.002142971,0.00099173,0.082886063,15,4982.127441,0.158576012
6,clean_fileid_0_1-19898-A-41-2-118624-A-30_snr10_pitch_0.92_fileid_9999.wav,2.491700411,-10.26863575,-12.76700115,-12.89089394,0.960105586,0.642989814,0.034176785,0.008106234,0.120373189,10,5441.891602,0.138641596
7,clean_fileid_0_1-211527-C-20-1-49409-B-8_snr25_pitch_0.14_fileid_3375.wav,3.737888813,-21.38998795,-27.19511986,-27.32293701,0.995551683,0.265156448,0.000463851,0.000321362,0.067019232,25,4793.477539,0.164557934
8,clean_fileid_0_1-21189-A-10-1-7974-B-49_snr9_pitch_0.48_fileid_8943.wav,2.167326212,-10.24194145,-14.1090765,-14.20509529,0.93152955,0.951964855,0.002571714,0.001784093,0.104069926,9,5776.151855,0.177400827
9,clean_fileid_0_1-27166-A-35-1-68628-A-27_snr-10_pitch_0.17_fileid_2007.wav,1.177070618,-1.20912838,-1.56631279,-1.6720469,0.685035332,2.454300165,0.002256817,0.001668108,0.073968746,-10,6715.964844,0.146608353
10,clean_fileid_0_1-28135-A-11-4-189838-A-22_snr11_pitch_-0.87_fileid_10967.wav,2.117037296,-10.00891876,-13.58683109,-13.66683197,0.938438892,1.018443108,0.004714651,0.002456016,0.12092828,11,5692.450684,0.152592421
11,clean_fileid_0_1-34119-B-1-5-172639-A-5_snr27_pitch_-0.62_fileid_10118.wav,3.990827322,-21.79346848,-26.35571289,-26.58883286,0.996136383,0.119217858,0.000706532,0.000336867,0.042256262,27,4403.067383,0.151596069
12,clean_fileid_0_1-38559-A-14-2-50774-A-23_snr8_pitch_-0.36_fileid_12931.wav,3.295392752,-14.24808121,-19.38167763,-19.82925224,0.980531949,0.431692928,0.007672394,0.003244931,0.098983616,8,4879.577637,0.150596857
13,clean_fileid_0_1-39937-A-28-4-183882-A-28_snr-5_pitch_0.59_fileid_1149.wav,1.236142993,-0.560800731,-0.187048748,-0.25655356,0.809937312,2.036862135,0.00532323,0.003067519,0.090892404,-5,6224.746094,0.147624969
14,clean_fileid_0_1-40621-A-28-3-161010-A-43_snr-7_pitch_0.35_fileid_8683.wav,1.160692692,0.334818333,0.451915711,0.400716126,0.759840398,2.076570749,0.0077589,0.004182868,0.096655153,-7,6505.058105,0.149600029
15,clean_fileid_0_1-40730-A-1-4-144083-B-16_snr14_pitch_0.4_fileid_575.wav,3.288101435,-15.64904594,-18.82165718,-18.87849236,0.986604291,0.420766383,0.000949399,0.000573164,0.055229679,14,4619.665527,0.15957427
16,clean_fileid_0_1-4211-A-12-3-197435-A-22_snr13_pitch_0.8_fileid_4802.wav,3.137126923,-13.63353157,-16.54339027,-16.7641468,0.98495969,0.473580807,0.001973666,0.001030082,0.064124085,13,4908.308105,0.160570621
17,clean_fileid_0_1-51805-A-33-4-181955-C-3_snr2_pitch_-0.55_fileid_8013.wav,1.792555332,-8.063216209,-10.23513985,-10.41716576,0.923025984,1.217322946,0.006435701,0.002943633,0.101122253,2,5786.203125,0.149561405
18,clean_fileid_0_1-52290-A-30-1-51805-B-33_snr14_pitch_0.36_fileid_2858.wav,3.236462593,-18.16909409,-20.89561653,-21.00056839,0.987246758,0.397587478,0.000373984,0.000247374,0.04282381,14,4856.081055,0.148602962
19,clean_fileid_0_1-52323-A-24-3-154926-B-40_snr21_pitch_0.5_fileid_3670.wav,3.527938366,-18.57998657,-22.33551407,-22.4270134,0.992549616,0.284635156,0.000878624,0.000456811,0.058625419,21,4879.1875,0.134640217
20,clean_fileid_0_1-60997-A-20-2-102414-E-17_snr0_pitch_0.83_fileid_3392.wav,1.869881749,-7.872634888,-12.05563068,-12.14107418,0.896298694,1.005138159,0.014191055,0.006268602,0.129260138,0,6729.166016,0.154585838
21,clean_fileid_0_1-64398-A-41-2-154688-A-31_snr-3_pitch_0.74_fileid_7797.wav,1.873735189,-0.4555282,0.148220941,0.149929598,0.835159559,1.176878572,0.512136519,0.058540333,0.151700795,-3,5570.265625,0.137631655
22,clean_fileid_0_1-64398-B-41-3-151081-B-20_snr12_pitch_-0.93_fileid_8353.wav,2.622823477,-11.46210766,-14.05321121,-14.11185741,0.96706221,0.762035251,0.006798483,0.00242629,0.097845629,12,5025.93457,0.149602175
23,clean_fileid_0_1-977-A-39-5-248341-C-6_snr4_pitch_-0.23_fileid_6761.wav,2.422054291,-11.47393131,-14.40299606,-14.47272778,0.944040402,0.629403353,0.00301984,0.001574112,0.064061165,4,5153.768066,0.156579494
24,clean_fileid_0_2-109371-A-16-3-136288-A-0_snr1_pitch_0.17_fileid_1884.wav,1.735636473,-5.255807877,-7.291722775,-7.539051056,0.900696265,1.365235567,0.08434312,0.018242018,0.165837273,1,5380.199219,0.144611359
25,clean_fileid_0_2-114587-A-0-2-118964-A-0_snr12_pitch_0.04_fileid_13024.wav,3.0248034,-13.54360676,-17.88063812,-17.98934364,0.965886257,0.362904817,0.004630869,0.002102932,0.071636461,12,5069.48584,0.150601149
26,clean_fileid_0_2-119748-A-38-3-146697-A-43_snr18_pitch_0.83_fileid_1165.wav,3.940649509,-19.2409687,-23.13996506,-23.67948341,0.996787219,0.229033202,0.003159401,0.001059487,0.06081678,18,4844.664551,0.1641047
27,clean_fileid_0_2-120218-A-30-4-251645-B-49_snr-10_pitch_-0.72_fileid_6275.wav,1.373892784,-3.284301758,-2.457388401,-2.626158953,0.825358331,1.434447169,0.002784966,0.001546607,0.06642504,-10,5856.288574,0.14760685
28,clean_fileid_0_2-121909-A-35-1-72695-A-26_snr12_pitch_-0.81_fileid_443.wav,2.820216656,-12.6152668,-13.430089,-13.4700098,0.988446544,0.519729912,0.027967103,0.004570667,0.091811843,12,4793.507813,0.147607565
29,clean_fileid_0_2-122763-B-29-1-18631-A-23_snr17_pitch_0.43_fileid_4334.wav,3.358163834,-16.88658142,-18.73683548,-18.82749939,0.990666712,0.280906677,0.00617768,0.001417596,0.067583993,17,4783.96582,0.143618107
30,clean_fileid_0_2-135649-A-45-3-136288-A-0_snr2_pitch_0.03_fileid_14296.wav,1.53788805,-4.864239216,-6.203558922,-6.375561237,0.879340738,1.501726866,0.125330254,0.02155903,0.187202841,2,6120.301758,0.149600506
31,clean_fileid_0_2-141563-A-39-4-167571-A-26_snr12_pitch_-0.55_fileid_1244.wav,2.891980886,-14.42176723,-16.68092346,-16.76861191,0.96704842,0.471588284,0.000984034,0.00056332,0.051780038,12,4952.902344,0.153590441
32,clean_fileid_0_2-155801-A-11-3-149042-A-24_snr28_pitch_-0.67_fileid_9016.wav,3.76324439,-21.58323669,-26.11573219,-26.47443771,0.997208222,0.171073049,0.001648024,0.000619099,0.074015617,28,4679.953613,0.143615723
33,clean_fileid_0_2-52001-B-28-1-47819-C-5_snr-5_pitch_0.07_fileid_5203.wav,1.37051034,-2.39417696,-2.175190687,-2.249362946,0.848042087,1.590234756,0.00359087,0.002163485,0.085552037,-5,6259.774902,0.138488531
34,clean_fileid_0_2-54086-A-43-2-118104-A-21_snr13_pitch_-0.7_fileid_5499.wav,3.71108222,-15.17062283,-18.02392769,-18.16934967,0.985526114,0.254660785,0.010555574,0.002678474,0.06493108,13,4612.115234,0.153587818
35,clean_fileid_0_2-65750-A-1-4-177243-A-32_snr3_pitch_-0.93_fileid_8603.wav,2.926235437,-12.27259064,-15.35494041,-15.51594925,0.970141552,0.455116004,0.004581375,0.001897837,0.069235705,3,4802.430176,0.143615723
36,clean_fileid_0_2-72677-A-18-3-150979-C-40_snr-6_pitch_-0.02_fileid_6929.wav,1.198515534,-0.096844465,-0.333053052,-0.411301315,0.786976443,2.021131516,0.18515864,0.030917771,0.178871766,-6,6199.901855,0.140773773
37,clean_fileid_0_2-77346-A-46-2-79775-A-26_snr-2_pitch_0.46_fileid_10794.wav,2.099747419,-7.904661179,-12.04760456,-12.20225143,0.914024925,1.06638062,0.008761808,0.004614091,0.116302028,-2,5791.747559,0.176528931
38,clean_fileid_0_2-82071-A-27-4-126046-A-18_snr12_pitch_-0.19_fileid_873.wav,2.765073776,-12.1548481,-17.13177299,-17.21691704,0.958443978,0.62532562,0.012514485,0.005132556,0.148189813,12,5482.644043,0.204479218
39,clean_fileid_0_2-88724-A-38-2-119139-A-31_snr-7_pitch_0.07_fileid_13512.wav,1.776317358,-7.259487152,-7.164441109,-7.276749611,0.905122434,0.903121889,0.001620549,0.000966767,0.05602717,-7,5604.856934,0.198469162
40,clean_fileid_0_2-94230-A-27-2-118459-B-32_snr-4_pitch_-0.96_fileid_13710.wav,1.362877131,-4.804003716,-5.31916666,-5.654196739,0.856945517,1.605240345,0.008029043,0.003494956,0.101332411,-4,6572.583984,0.187498569
41,clean_fileid_0_2-96904-A-27-5-170338-B-41_snr-8_pitch_-0.93_fileid_9404.wav,1.308975458,-1.286803722,-0.287131011,-0.34618634,0.765956942,1.68120563,0.003746362,0.002063274,0.076568618,-8,6422.075684,0.16156745
42,clean_fileid_0_3-100024-B-27-3-83527-A-4_snr1_pitch_0.58_fileid_2557.wav,1.767356396,-6.759979248,-10.15034676,-10.26641273,0.910682487,1.304332852,0.023479829,0.008368038,0.162978008,1,6174.323242,0.148600101
43,clean_fileid_0_3-102583-A-49-3-129338-A-13_snr16_pitch_-0.12_fileid_6459.wav,2.837290287,-14.32723141,-18.40830231,-18.48000336,0.981123849,0.534159124,0.00668415,0.002489323,0.116271436,16,5598.027344,0.155546904
44,clean_fileid_0_3-103051-C-19-4-125072-B-19_snr7_pitch_-0.27_fileid_6428.wav,2.476646662,-9.518595695,-10.43290043,-10.48186684,0.971025289,0.635666132,0.008515798,0.002666915,0.063060768,7,4627.040527,0.215421677
45,clean_fileid_0_3-103401-B-33-3-119120-B-48_snr-6_pitch_-0.98_fileid_11808.wav,1.442185402,-4.259092808,-6.751567841,-6.826140881,0.800891407,1.353646636,0.011828857,0.00562546,0.103987515,-6,6085.837891,0.217470407
46,clean_fileid_0_3-103401-C-33-4-133047-C-5_snr1_pitch_0.51_fileid_13728.wav,1.925289154,-6.835866928,-11.04490852,-11.17147923,0.900467807,1.266744733,0.010023301,0.005321593,0.138465285,1,5875.57666,0.167550564
47,clean_fileid_0_3-115387-A-47-1-155858-B-25_snr18_pitch_-0.49_fileid_6685.wav,3.235262632,-16.93162537,-19.27180481,-19.33969116,0.989593178,0.348326027,0.001387189,0.000561867,0.054620199,18,4554.73584,0.164433479
48,clean_fileid_0_3-117504-B-16-4-160999-A-10_snr21_pitch_-0.76_fileid_12150.wav,3.118840933,-17.5606842,-22.32443237,-22.48773384,0.98649338,0.418916702,0.000905875,0.000564191,0.083803676,21,4984.006836,0.146607161
49,clean_fileid_0_3-118657-B-41-1-54918-A-14_snr-2_pitch_-0.81_fileid_1836.wav,1.335286617,-2.498981714,-2.29087615,-2.335629463,0.872547883,1.78932929,0.127259061,0.019889694,0.157720476,-2,6243.006836,0.140623093
50,clean_fileid_0_3-128512-A-47-2-73027-A-10_snr-3_pitch_0.43_fileid_10251.wav,1.272823811,-1.864895225,-3.771486521,-3.955468178,0.79268335,1.904001474,0.047295604,0.013974899,0.158175483,-3,6649.274414,0.148602724
51,clean_fileid_0_3-130998-A-28-4-128659-A-33_snr24_pitch_0.97_fileid_3093.wav,4.068993092,-21.52402496,-24.20519638,-24.34129715,0.999149439,0.1789646,0.00018069,0.000117835,0.039511938,24,4632.719238,0.15757966
52,clean_fileid_0_3-135469-A-35-5-260433-A-39_snr6_pitch_0.0_fileid_7429.wav,2.149371862,-9.055973053,-10.15379047,-10.34677315,0.954932825,0.836564124,0.057324111,0.009955538,0.133749947,6,6105.653809,0.129895687
53,clean_fileid_0_3-139958-A-37-3-123224-A-19_snr18_pitch_0.94_fileid_11465.wav,3.490567446,-15.96348667,-20.45065689,-20.59346008,0.993067716,0.389223456,0.003383504,0.001495384,0.078138098,18,4951.298828,0.170213461
54,clean_fileid_0_3-142601-A-21-4-102844-C-49_snr0_pitch_-0.32_fileid_7145.wav,1.723392129,-7.53411293,-8.68085289,-8.790340424,0.88541801,1.003450274,0.003593234,0.001898625,0.070453838,0,5999.01709,0.16157198
55,clean_fileid_0_3-145487-A-24-1-103999-A-30_snr23_pitch_-0.33_fileid_9639.wav,4.136423588,-20.9883728,-24.28747559,-24.53348351,0.996812582,0.084983625,0.000704406,0.000299053,0.026891453,23,4319.884766,0.1436131
56,clean_fileid_0_3-149448-A-17-1-26222-A-10_snr17_pitch_-0.22_fileid_776.wav,2.465634823,-13.28962517,-18.81531715,-18.97603226,0.960743474,0.649173796,0.00864634,0.004036576,0.138752356,17,6131.989746,0.159572363
57,clean_fileid_0_3-152007-C-20-2-28314-A-12_snr1_pitch_-0.28_fileid_7243.wav,2.666605949,-11.64844894,-12.58026314,-12.80201435,0.970799286,0.685115695,0.002230519,0.001003429,0.072616868,1,5129.887207,0.149600506
58,clean_fileid_0_3-154926-A-40-3-122110-A-46_snr10_pitch_-0.83_fileid_13676.wav,2.558121681,-9.91313839,-12.43343925,-12.47631836,0.956771442,0.732365549,0.023388943,0.006109254,0.091486074,10,4748.289063,0.147627592
59,clean_fileid_0_3-156393-A-35-5-251957-A-47_snr13_pitch_-0.95_fileid_4929.wav,2.492136478,-12.04787159,-14.74053764,-14.85415554,0.980340223,0.717050016,0.007428754,0.002486141,0.104816072,13,5165.353027,0.151594877
60,clean_fileid_0_3-156581-B-14-4-200330-B-6_snr-5_pitch_-0.09_fileid_6381.wav,1.563242912,-7.757685184,-10.55159378,-10.65507698,0.865377616,1.495884657,0.003745047,0.002343487,0.116592102,-5,6424.491699,0.143615246
61,clean_fileid_0_3-157149-A-10-3-62878-B-42_snr-4_pitch_0.2_fileid_1976.wav,2.509628773,-10.45112419,-13.9522438,-14.13985348,0.941286715,0.906217933,0.002123964,0.001499337,0.095482461,-4,5623.903809,0.24534297
62,clean_fileid_0_3-166125-A-23-1-28808-A-43_snr-5_pitch_-0.79_fileid_9954.wav,1.443997145,-3.056827784,-4.376637459,-4.476180553,0.835820091,1.465148568,0.024729664,0.008336728,0.113983348,-5,6584.492188,0.167082548
63,clean_fileid_0_3-167096-A-31-2-102414-B-17_snr7_pitch_-0.54_fileid_6961.wav,1.755519152,-8.376856804,-11.31185913,-11.40757179,0.915792342,1.102956414,0.017434331,0.005809022,0.13316527,7,5743.23584,0.16445899
64,clean_fileid_0_3-171012-A-38-3-153444-A-32_snr14_pitch_0.91_fileid_8277.wav,3.505383253,-20.51164436,-24.07927513,-24.32174301,0.990145826,0.222836375,0.000233622,0.000168459,0.056300055,14,4892.897949,0.153707743
65,clean_fileid_0_3-171041-A-38-4-152958-A-18_snr15_pitch_-0.45_fileid_13003.wav,3.075119972,-13.98812771,-16.14513779,-16.15717888,0.977712218,0.445919842,0.01546059,0.003427512,0.107064001,15,4945.779785,0.153589487
66,clean_fileid_0_3-251617-A-48-5-207811-A-35_snr2_pitch_0.78_fileid_12690.wav,1.787330508,-6.679826736,-7.662715435,-7.867014408,0.91128916,1.152701735,0.00535392,0.002547019,0.089521803,2,5583.269531,0.142617702
67,clean_fileid_0_4-135439-A-18-1-99958-A-31_snr24_pitch_-0.64_fileid_4168.wav,3.647197723,-20.01619339,-24.37441063,-24.49614334,0.995059377,0.286201626,0.000445469,0.000281978,0.057361517,24,4645.455566,0.139736652
68,clean_fileid_0_4-156993-A-19-5-187444-A-33_snr-4_pitch_0.25_fileid_6793.wav,1.250150681,-2.344567776,-2.931480646,-3.040052652,0.779567989,1.901353359,0.011700256,0.005156394,0.118924171,-4,7324.606445,0.146608829
69,clean_fileid_0_4-161303-B-5-1-54084-A-42_snr-7_pitch_-0.73_fileid_1261.wav,2.557180882,-7.702836514,-7.362127304,-7.479428291,0.945788586,0.773489654,0.00100221,0.000637759,0.03932818,-7,4777.311523,0.150597572
70,clean_fileid_0_4-164021-A-1-3-144253-A-29_snr24_pitch_0.14_fileid_2983.wav,3.870825529,-21.59792709,-25.35650063,-25.48750305,0.994720238,0.194166735,0.00022913,0.000153114,0.041068818,24,4532.685059,0.153592825
71,clean_fileid_0_4-164206-A-10-4-205526-A-23_snr-3_pitch_0.85_fileid_6168.wav,1.259307861,-1.922054291,-3.163549423,-3.23353529,0.748390607,2.107392311,0.006659495,0.003857962,0.117321737,-3,6670.887207,0.156581879
72,clean_fileid_0_4-172180-A-32-4-210000-A-23_snr5_pitch_0.64_fileid_7211.wav,2.817187786,-11.35951138,-13.03932667,-13.78439045,0.979621312,0.720986187,0.002744197,0.001306858,0.075545512,5,5048.275391,0.136636496
73,clean_fileid_0_4-172732-A-36-1-19111-A-24_snr16_pitch_0.69_fileid_4415.wav,3.312357426,-13.96561241,-18.12259865,-18.18340492,0.984216623,0.486960888,0.002260361,0.001271448,0.082924552,16,4857.979492,0.150598288
74,clean_fileid_0_4-173865-B-9-1-46353-A-49_snr2_pitch_0.63_fileid_6670.wav,1.716705799,-8.875714302,-12.31545448,-12.37613773,0.897532172,1.245839596,0.003336793,0.002186628,0.116671234,2,6377.500488,0.142614365
75,clean_fileid_0_4-181628-A-17-1-12653-A-15_snr18_pitch_-0.57_fileid_11302.wav,3.10027647,-18.17344475,-21.13970566,-21.26317024,0.985956163,0.408913851,0.000370177,0.000249214,0.055292685,18,4696.308594,0.149598837
76,clean_fileid_0_4-181955-A-3-3-103050-A-19_snr16_pitch_0.29_fileid_5741.wav,3.204847336,-14.07542133,-18.02978706,-18.32143593,0.98764062,0.452207625,0.010282164,0.003449871,0.086090937,16,4865.121582,0.163562536
77,clean_fileid_0_4-182314-A-7-4-169127-A-41_snr20_pitch_-0.08_fileid_1991.wav,3.497421265,-20.20327568,-22.80164528,-22.90236282,0.991406098,0.323959291,0.000158817,0.000119739,0.049515199,20,4843.913574,0.144622564
78,clean_fileid_0_4-182395-A-0-2-134915-A-30_snr28_pitch_0.49_fileid_12231.wav,4.226383209,-24.14439964,-28.59991074,-28.99172783,0.99924726,0.05606794,0.000535785,0.00023456,0.029481206,28,4528.996094,0.1765275
79,clean_fileid_0_4-186936-A-44-4-218199-B-35_snr4_pitch_0.51_fileid_9328.wav,1.793425083,-7.164851189,-8.342798233,-8.626912117,0.947664393,1.144493341,0.011132409,0.003910501,0.116672613,4,5676.124023,0.162564993
80,clean_fileid_0_4-191246-B-7-3-216284-A-39_snr3_pitch_0.44_fileid_4986.wav,2.454386711,-9.381075859,-9.842597961,-9.932352066,0.948349371,0.636097014,0.003780756,0.001581488,0.061984066,3,5052.28125,0.147605896
81,clean_fileid_0_4-204830-A-6-5-141683-A-35_snr-5_pitch_0.78_fileid_4257.wav,1.252747655,-2.25311923,-2.254760981,-2.321124077,0.813214833,1.701129556,0.003684234,0.002280933,0.082109369,-5,6328.027344,0.142622709
82,clean_fileid_0_4-261068-A-30-3-51731-A-42_snr16_pitch_-0.06_fileid_3248.wav,3.116512775,-16.01062584,-17.56533051,-17.75354767,0.994753881,0.34016335,0.004041974,0.001069303,0.057837948,16,4830.749512,0.154588223
83,clean_fileid_0_5-160551-A-42-4-173865-A-9_snr-8_pitch_-0.72_fileid_11317.wav,1.295712948,-2.88873148,-5.750594616,-5.868214607,0.779834431,1.974986911,0.056053773,0.015707485,0.180395305,-8,6927.610352,0.142620802
84,clean_fileid_0_5-177957-B-40-2-70344-A-33_snr15_pitch_0.71_fileid_14104.wav,3.608599424,-14.69161987,-17.22616386,-17.5577755,0.994475753,0.390490144,0.012345564,0.003017293,0.073684216,15,4851.964844,0.142617464
85,clean_fileid_0_5-185516-A-27-3-116135-A-1_snr10_pitch_-0.14_fileid_1757.wav,3.012596607,-14.82628441,-17.66519928,-17.76100349,0.971209566,0.536359727,0.00116077,0.0006645,0.068758927,10,4980.07959,0.140626192
86,clean_fileid_0_5-189237-A-12-1-62849-A-38_snr16_pitch_0.11_fileid_1044.wav,3.385446548,-19.8152771,-22.27062225,-22.36298561,0.991121931,0.230169833,0.000221076,0.00014886,0.041834768,16,4726.368164,0.154586077
87,clean_fileid_0_5-194899-D-3-4-161099-A-47_snr29_pitch_-0.64_fileid_7860.wav,3.740328789,-22.39471054,-26.73019791,-26.8922348,0.997261117,0.178809956,0.000414879,0.000218107,0.045964617,29,4340.088867,0.138628721
88,clean_fileid_0_5-194930-B-1-5-234923-A-32_snr-4_pitch_-0.39_fileid_3168.wav,1.787636042,-10.13695526,-12.55985737,-12.84021568,0.917317269,0.98066318,0.001426561,0.001046521,0.07718017,-4,5852.611328,0.139626265
89,clean_fileid_0_5-198411-B-20-5-243025-A-25_snr0_pitch_-0.05_fileid_13305.wav,1.943786621,-6.92953825,-7.596750259,-7.767735004,0.93383526,1.161568284,0.02258111,0.005673638,0.124022022,0,5769.087402,0.148602962
90,clean_fileid_0_5-198411-D-20-5-191497-A-33_snr28_pitch_0.61_fileid_10492.wav,3.753591299,-22.65299988,-27.91968536,-28.06154442,0.997616665,0.213235676,0.000313378,0.000211145,0.055616658,28,4705.149414,0.152592659
91,clean_fileid_0_5-198891-A-8-2-140841-A-30_snr12_pitch_-0.05_fileid_9747.wav,3.410715342,-17.87817574,-20.1905098,-20.24394989,0.985874904,0.32805872,0.000272352,0.000196193,0.043485843,12,4714.400391,0.143616915
92,clean_fileid_0_5-198891-C-8-3-118069-A-27_snr12_pitch_-0.67_fileid_1197.wav,2.650209427,-15.05048656,-17.70458031,-17.89153481,0.980903939,0.611600161,0.00094646,0.000553042,0.077196017,12,5316.987305,0.159571171
93,clean_fileid_0_5-200334-A-1-3-104958-A-12_snr14_pitch_0.47_fileid_8514.wav,3.851720095,-17.46829224,-19.51861191,-19.62484932,0.988881495,0.177843034,0.000321499,0.000219341,0.033870354,14,4734.656738,0.148602962
94,clean_fileid_0_5-202795-A-3-5-215445-A-47_snr0_pitch_-0.1_fileid_2764.wav,1.569676638,-4.566380501,-5.394800186,-5.469169617,0.878991885,1.337679744,0.033793665,0.008725053,0.118066169,0,5434.182129,0.133642912
95,clean_fileid_0_5-211408-A-37-3-178096-A-6_snr7_pitch_0.77_fileid_7750.wav,2.489017963,-10.27862644,-13.38143158,-13.5105648,0.957740692,0.854517817,0.022439515,0.006403594,0.142608523,7,5309.896484,0.152591467
96,clean_fileid_0_5-216368-A-28-1-30709-B-23_snr18_pitch_-0.09_fileid_12985.wav,3.209051847,-16.34535027,-20.05672836,-20.30960083,0.987632517,0.452963144,0.000936576,0.000565461,0.065212756,18,4814.370117,0.150597572
97,clean_fileid_0_5-222041-A-9-1-96890-A-37_snr28_pitch_0.94_fileid_11536.wav,3.871190786,-21.0185318,-26.19074631,-26.38741684,0.995439703,0.204966605,0.001618992,0.000721886,0.082369015,28,4978.893066,0.149598598
98,clean_fileid_0_5-222041-A-9-4-201988-A-44_snr16_pitch_-0.69_fileid_2703.wav,2.860292435,-14.36842823,-17.9279747,-18.03865242,0.983555044,0.614354908,0.001482819,0.00086057,0.085656539,16,5161.834961,0.159573317
99,clean_fileid_0_5-233645-A-37-1-79146-A-29_snr10_pitch_-0.64_fileid_11159.wav,3.232842922,-14.23489761,-16.91404724,-17.74255562,0.977308354,0.378955513,0.010929793,0.002835175,0.069598295,10,4634.622559,0.155584574
100,clean_fileid_0_5-234145-A-28-4-161127-A-10_snr3_pitch_-0.98_fileid_5404.wav,1.721282482,-7.119363785,-10.26397133,-10.50581837,0.915590702,1.086107969,0.008662304,0.004224327,0.108412579,3,5842.728027,0.161568165
101,clean_fileid_0_5-234923-A-32-2-98676-A-24_snr-9_pitch_0.39_fileid_14222.wav,1.70924437,-5.963932037,-6.09356451,-7.234683037,0.888866427,1.583682775,0.000883686,0.000670667,0.05751323,-9,5840.912598,0.15658164
102,clean_fileid_0_5-244315-A-6-2-39945-A-19_snr12_pitch_-0.07_fileid_8635.wav,2.327554703,-11.1716671,-14.38137531,-14.50894547,0.961159179,0.751131952,0.022594731,0.006276995,0.118380219,12,5181.152344,0.152649403
103,clean_fileid_0_5-244651-A-31-5-235874-A-28_snr10_pitch_-0.29_fileid_11840.wav,3.018928766,-11.56717873,-12.02565575,-12.08618927,0.985924066,0.373009533,0.004237154,0.001395508,0.045616526,10,4810.512207,0.164611101
104,clean_fileid_0_5-253101-A-49-2-122820-B-36_snr9_pitch_-0.84_fileid_825.wav,1.844932079,-7.864694595,-11.99686146,-12.02764416,0.905351103,1.168088555,0.038505759,0.012396958,0.183278039,9,6784.85791,0.196465015
105,clean_fileid_0_5-254832-A-15-1-7973-A-7_snr17_pitch_-0.77_fileid_6532.wav,3.35311985,-16.81575966,-18.46792984,-18.56414604,0.985685026,0.251573354,0.009178031,0.001823377,0.076941058,17,4734.088867,0.154585123
106,clean_fileid_101_1-15689-A-4-3-151255-A-28_snr10_pitch_0.62_fileid_14299.wav,2.647483587,-13.31673717,-14.26539993,-14.46103001,0.977423005,0.903596818,0.031262826,0.004542654,0.101201899,10,5439.547363,0.159649372
107,clean_fileid_101_1-16746-A-15-5-216370-B-41_snr-3_pitch_-0.52_fileid_8171.wav,1.218900084,-2.455703735,-4.692812443,-4.934732437,0.803256258,1.907329917,0.0080665,0.003356539,0.080078587,-3,6173.044922,0.146618605
108,clean_fileid_101_1-17808-A-12-2-108767-B-9_snr-3_pitch_-0.73_fileid_6067.wav,1.553890467,-7.509459972,-11.68165684,-12.06333256,0.88688617,1.577461839,0.01319109,0.004626712,0.137836888,-3,6000.032227,0.15557003
109,clean_fileid_101_1-23094-A-15-2-73544-A-27_snr1_pitch_-0.19_fileid_3948.wav,1.419152379,-6.617833138,-11.0299387,-11.08098793,0.864210877,1.727238417,0.019609712,0.006828176,0.144135416,1,6555.814941,0.137631178
110,clean_fileid_101_1-24074-A-43-4-108352-A-33_snr4_pitch_0.13_fileid_84.wav,2.212855816,-9.892904282,-13.40215588,-13.69798565,0.937508084,1.19502461,0.002991403,0.001348338,0.082131498,4,5157.134277,0.140627146
111,clean_fileid_101_1-32318-A-0-3-103051-C-19_snr19_pitch_-0.97_fileid_2318.wav,3.402138472,-19.31976509,-20.59135628,-20.82393265,0.992111284,0.366913855,0.000261608,9.91E-05,0.030433774,19,4483.403809,0.148659945
112,clean_fileid_101_1-34094-B-5-4-188191-C-29_snr13_pitch_-0.94_fileid_10888.wav,2.707765579,-13.35315704,-17.61833572,-17.86334991,0.968308939,0.721926689,0.009826308,0.003104565,0.101170897,13,4927.936523,0.141620874
